order_id,customer_name,order_date,amount_inr,currency,payment_ref,status
ORD-10001,Girik Kamdar,2026-08-02,5328.64,INR,pay_FL10433218BC,partially_refunded
ORD-10002,Lajita Chatterjee,2026-08-03,2164.2,INR,pay_NW94026542VG,completed
ORD-10003,Viraj Chaudhuri,2026-08-03,1365.6,INR,pay_QO84959310XS,completed
ORD-10004,Daksh Karnik,2026-08-03,8595.58,INR,pay_OS92832764JO,completed
ORD-10005,Janaki Kanda,2026-08-03,3986.22,INR,pay_QV67242388LB,completed
ORD-10006,Harini Choudhury,2026-08-03,6465.14,INR,pay_AR16697848UH,completed
ORD-10007,Vrinda Bahl,2026-08-03,2300.23,INR,pay_XH48932528AM,completed
ORD-10008,Devika Rastogi,2026-08-04,5650.6,INR,pay_HM18227824BN,completed
ORD-10009,Thomas Amble,2026-08-05,991.6,INR,pay_VB57871331LJ,completed
ORD-10010,Girindra Chatterjee,2026-08-06,1959.04,INR,pay_YE73829973ZA,completed
ORD-10011,Saanvi Chaudhari,2026-08-07,2673.67,INR,pay_LR13338726DP,completed
ORD-10012,Mohammed Gupta,2026-08-07,3655.19,INR,pay_SB60260647SU,partially_refunded
ORD-10013,Netra Dar,2026-08-08,6974.17,INR,pay_EM78820812ER,completed
ORD-10014,Diya Bora,2026-08-08,3579.76,INR,pay_IQ85435346PT,completed
ORD-10015,Diya Bora,2026-08-08,3579.76,INR,pay_IQ85435346PT,completed
ORD-10016,Chandani Chawla,2026-08-08,2520.77,INR,pay_IT25135427TN,completed
ORD-10017,Gauri De,2026-08-08,5692.81,INR,pay_OB53487401RC,completed
ORD-10018,Ishita Kade,2026-08-08,941.03,INR,pay_CT80598262XY,completed
ORD-10019,Upma Kapadia,2026-08-09,8799.77,INR,pay_YS60256342GY,completed
ORD-10020,Balvan Chopra,2026-08-09,1723.6,INR,pay_BH41458685QL,completed
ORD-10021,Dipta Dash,2026-08-09,8880.43,INR,pay_XB34060883EQ,completed
ORD-10022,Ekanta Shroff,2026-08-10,4749.86,INR,pay_AT66299468SN,completed
ORD-10023,Tamanna Sachdeva,2026-08-10,1653.41,INR,pay_CP51343320EN,completed
ORD-10024,Saanvi Thaman,2026-08-11,3586.52,INR,pay_DI32870831ZD,completed
ORD-10025,William Maharaj,2026-08-11,7545.03,INR,pay_OR68727743XX,completed
ORD-10026,Samuel Salvi,2026-08-11,7283.76,INR,pay_VI23623166DA,partially_refunded
ORD-10027,Nidhi Gandhi,2026-08-11,9973.06,INR,pay_BF68893734BY,completed
ORD-10028,Arunima Sama,2026-08-11,5241.41,INR,pay_ND62720465UV,completed
ORD-10029,Udyati Kunda,2026-08-11,3900.02,INR,pay_EQ03309232HK,completed
ORD-10030,Udyati Kunda,2026-08-11,3900.02,INR,pay_EQ03309232HK,completed
ORD-10031,Benjamin Palan,2026-08-11,1781.56,INR,pay_GS49663193XT,completed
ORD-10032,Udyati Sarin,2026-08-11,7335.63,INR,pay_NZ65726284IX,completed
ORD-10033,Ati Majumdar,2026-08-11,4000.71,INR,pay_NW96507527ZQ,completed
ORD-10034,Urvashi Wali,2026-08-11,5431.41,INR,pay_SP77701436TQ,completed
ORD-10035,Harish Hari,2026-08-12,7024.46,INR,pay_VE13518233RU,partially_refunded
ORD-10036,Qarin Behl,2026-08-13,1410.15,INR,pay_SE08427109EC,completed
ORD-10037,Lajita Seshadri,2026-08-14,5329.88,INR,pay_MM29413186YN,completed
ORD-10038,Upma Manne,2026-08-14,3145.95,INR,pay_EK33412328AA,completed
ORD-10039,Reva Dash,2026-08-14,4175.07,INR,pay_DK61832421YT,partially_refunded
ORD-10040,Banjeet Gill,2026-08-15,2842.72,INR,pay_RK06594013LB,partially_refunded
ORD-10041,Balhaar Sha,2026-08-15,5223.51,INR,pay_SF56551256SQ,completed
ORD-10042,Bhavna Sarma,2026-08-15,7963.15,INR,pay_WD60385977NR,completed
ORD-10043,Ojasvi Subramanian,2026-08-15,3925.96,INR,pay_TS61317127GT,completed
ORD-10044,Manthan Sekhon,2026-08-15,2926.21,INR,pay_UT14658404LL,completed
ORD-10045,Manthan Sekhon,2026-08-15,2926.21,INR,pay_UT14658404LL,completed
ORD-10046,Warhi Bansal,2026-08-16,5550.71,INR,pay_TZ39636057YY,completed
ORD-10047,Mohammed Borde,2026-08-17,3443.31,INR,pay_DA28951718UJ,completed
ORD-10048,Sachi Ganesan,2026-08-17,1384.12,INR,pay_VF78091343BG,completed
ORD-10049,Widisha Dhar,2026-08-17,7150.05,INR,pay_NY38692221NR,partially_refunded
ORD-10050,Warjas Raj,2026-08-17,2621.69,INR,pay_TM17594647YE,completed
ORD-10051,Gunbir Baral,2026-08-17,8815.69,INR,pay_OM09743953NQ,completed
ORD-10052,Hamsini Contractor,2026-08-17,872.88,INR,pay_KQ23285884EZ,completed
ORD-10053,Urishilla Bakshi,2026-08-17,4899.93,INR,pay_OX48175496GR,completed
ORD-10054,Urishilla Bakshi,2026-08-17,4899.93,INR,pay_OX48175496GR,completed
ORD-10055,Oni Dubey,2026-08-18,7727.59,INR,pay_II20047113YD,completed
ORD-10056,Gavin Kala,2026-08-18,4127.63,INR,pay_ZR73515850MH,completed
ORD-10057,Viraj Narasimhan,2026-08-19,1900.73,INR,pay_EW90053293JN,completed
ORD-10058,Ishaan Bhatt,2026-08-20,8761.6,INR,pay_LQ02053950DI,completed
ORD-10059,Ethan Buch,2026-08-20,9653.32,INR,pay_BR08470076GF,completed
ORD-10060,Qushi Seth,2026-08-21,7625.07,INR,pay_GY69847896SH,completed
ORD-10061,Kalpit Bhasin,2026-08-22,1646.71,INR,pay_BG45271111VV,completed
ORD-10062,Jhalak Contractor,2026-08-22,9951.95,INR,pay_QE94519832OG,completed
